PROJECT ;MODEL          ;LOCATION;DATE      ;TIME ;LEADTIME;TTT  ;TX   ;TN   ;Td   ;PPPP ;DD   ;FF   ;FX1  ;FX3  ;FX6  ;mN   ;sN   ;N    ;mNeff;sNeff;Neff ;mNlm ;Nlm  ;Nh   ;Nm   ;mNl  ;Nl   ;N230 ;RH   ;VV   ;wwM  ;wwM3 ;wwM6 ;wwP  ;wwP3 ;wwP6 ;wwZ  ;wwD  ;wwC  ;wwT  ;wwL  ;wwS  ;wwF  ;wwZ3 ;wwD3 ;wwC3 ;wwT3 ;wwL3 ;wwF3 ;wwS3 ;wwZ6 ;wwD6 ;wwC6 ;wwT6 ;wwL6 ;wwF6 ;wwS6 ;wwZh ;wwDh ;wwCh ;wwTh ;wwLh ;wwFh ;wwSh ;wwMh ;wwPh ;DRR1 ;RR1  ;RR6  ;RRd  ;SunD1;jSun1;RSunD;RN2Sd;Rad1h;RRad1;PVV10;RRh  ;D_T2m;D_XT ;D_NT ;D_Td ;DPPPP;DDD10;DFF10;D_N  ;D_CT3;D_CT6;CH   ;CM   ;CL   ;D_RH ;SR3T ;SR6T ;TG   ;PX125;PX140;PX155;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; 00500  ;  135;     ;     ;   99;  130;  225;   13;   16;     ;     ;    6;    6;    7;    5;    6;    6;    5;    6;    2;    3;    4;    5;    6;   79;  306;    0;     ;     ;   51;     ;     ;    6;   32;   19;    6;   51;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   15;    4;     ;     ;   14;   14;     ;     ;   29;   24;    0;     ;  140;     ;     ;   98;  129;  235;   11;     ;     ;     ;     ;     ;     ;   76;     ;     ;     ;    8;    0;    0;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; 00600  ;  144;     ;     ;  102;  129;  234;   13;   17;     ;     ;    6;    6;    7;    6;    6;    7;    5;    6;    3;    3;    4;    5;    6;   76;  330;    0;     ;     ;   56;     ;     ;    6;   35;   22;    5;   56;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   17;    4;     ;     ;   19;   19;     ;     ;   57;   29;    0;     ;  150;     ;     ;   97;  129;  246;   11;     ;     ;     ;     ;     ;     ;   71;     ;     ;     ;   10;    0;    0;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; 00700  ;  150;     ;     ;  103;  128;  240;   14;   18;   19;     ;    6;    6;    7;    6;    6;    7;    5;    6;    4;    4;    4;    5;    6;   73;  343;    0;    0;     ;   58;   80;     ;    5;   36;   22;    3;   58;    0;    0;   17;   65;   63;    8;   80;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   18;    3;     ;     ;   23;   23;     ;     ;   90;   35;    0;     ;  157;  149;  129;   97;  128;  256;   11;     ;   71;     ;   57;   66;    0;   67;   21;   39;     ;   13;    0;    0;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; 00800  ;  153;     ;     ;  102;  128;  244;   14;   19;     ;     ;    6;    6;    7;    6;    6;    7;    5;    6;    4;    4;    4;    5;    6;   72;  340;    0;     ;     ;   55;     ;     ;    5;   33;   22;    4;   55;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   17;    3;     ;     ;   25;   25;     ;     ;  117;   38;    0;     ;  160;     ;     ;   98;  127;  263;   12;     ;     ;     ;     ;     ;     ;   66;     ;     ;     ;   15;    0;    0;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; 00900  ;  154;     ;     ;  101;  128;  246;   15;   20;     ;     ;    5;    6;    7;    5;    6;    6;    5;    6;    3;    3;    4;    4;    6;   70;  328;    0;     ;     ;   48;     ;     ;    4;   31;   16;    2;   48;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   15;    2;     ;     ;   25;   25;     ;     ;  140;   41;    0;     ;  161;     ;     ;   99;  127;  269;   12;     ;     ;     ;     ;     ;     ;   67;     ;     ;     ;   18;    0;    0;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; 01000  ;  154;  157;  114;   99;  128;  248;   16;   21;   22;   22;    5;    6;    6;    5;    6;    6;    5;    5;    3;    3;    4;    4;    6;   69;  321;    0;    0;    0;   41;   79;   90;    4;   28;   13;    1;   41;    0;    0;   13;   68;   51;    8;   79;    0;    0;   30;   83;   82;   10;   90;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;   13;    1;   16;     ;   26;   26;     ;     ;  156;   44;    0;     ;  161;  162;  129;  100;  125;  272;   13;     ;     ;   74;     ;     ;     ;   67;    6;   27;     ;   22;    0;    0;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; 01100  ;  153;     ;     ;   97;  126;  251;   17;   21;     ;     ;    5;    6;    6;    5;    6;    6;    5;    5;    3;    3;    4;    3;    6;   69;  325;    0;     ;     ;   36;     ;     ;    3;   24;   11;    0;   36;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   11;    1;     ;     ;   28;   28;     ;     ;  153;   44;    0;     ;  160;     ;     ;   99;  123;  270;   14;     ;     ;     ;     ;     ;     ;   67;     ;     ;     ;   25;    0;    0;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; 01200  ;  152;     ;     ;   96;  124;  254;   17;   22;     ;     ;    5;    6;    6;    5;    6;    6;    5;    5;    3;    3;    4;    3;    6;   69;  334;    0;     ;     ;   31;     ;     ;    3;   19;   12;    1;   31;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   10;    1;     ;     ;   30;   30;     ;     ;  142;   44;    0;     ;  158;     ;     ;   97;  121;  266;   14;     ;     ;     ;     ;     ;     ;   67;     ;     ;     ;   29;    0;    0;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; 01300  ;  150;     ;     ;   95;  121;  257;   18;   22;   23;     ;    5;    6;    6;    5;    6;    6;    5;    5;    2;    3;    3;    3;    6;   70;  343;    0;    0;     ;   27;   50;     ;    3;   13;   13;    1;   27;    0;    0;    9;   37;   37;    2;   50;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    8;    1;     ;     ;   32;   32;     ;     ;  123;   44;    0;     ;  157;  162;  132;   96;  119;  262;   15;     ;   59;     ;   45;   49;   10;   67;    1;    7;     ;   33;    0;    0;
PROJECT ;MODEL          ;LOCATION;DATE      ;TIME ;LEADTIME;TTT  ;TX   ;TN   ;Td   ;PPPP ;DD   ;FF   ;FX1  ;FX3  ;FX6  ;mN   ;sN   ;N    ;mNeff;sNeff;Neff ;mNlm ;Nlm  ;Nh   ;Nm   ;mNl  ;Nl   ;N230 ;RH   ;VV   ;wwM  ;wwM3 ;wwM6 ;wwP  ;wwP3 ;wwP6 ;wwZ  ;wwD  ;wwC  ;wwT  ;wwL  ;wwS  ;wwF  ;wwZ3 ;wwD3 ;wwC3 ;wwT3 ;wwL3 ;wwF3 ;wwS3 ;wwZ6 ;wwD6 ;wwC6 ;wwT6 ;wwL6 ;wwF6 ;wwS6 ;wwZh ;wwDh ;wwCh ;wwTh ;wwLh ;wwFh ;wwSh ;wwMh ;wwPh ;DRR1 ;RR1  ;RR6  ;RRd  ;SunD1;jSun1;RSunD;RN2Sd;Rad1h;RRad1;PVV10;RRh  ;D_T2m;D_XT ;D_NT ;D_Td ;DPPPP;DDD10;DFF10;D_N  ;D_CT3;D_CT6;CH   ;CM   ;CL   ;D_RH ;SR3T ;SR6T ;TG   ;PX125;PX140;PX155;
